iter	RMSE
0	14.55663042
1	14.14735018
2	13.6954764
3	13.29950279
4	12.95403976
5	12.62278142
6	12.30344627
7	12.02253367
8	11.73915947
9	11.49008847
10	11.18966319
11	10.89069351
12	10.64405315
13	10.37841318
14	10.14774791
15	9.902164893
16	9.669638617
17	9.443349454
18	9.229088179
19	9.026408059
20	8.836926174
21	8.673485869
22	8.549913614
23	8.404378066
24	8.274447497
25	8.157990801
26	8.018900853
27	7.872982876
28	7.755798807
29	7.641893035
30	7.538360581
31	7.432998124
32	7.330248312
33	7.249505726
34	7.153594332
35	7.098155152
36	7.027917709
37	6.947311172
38	6.892255304
39	6.82615885
40	6.77293253
41	6.712071822
42	6.649978924
43	6.611866805
44	6.558167271
45	6.503966713
46	6.463445674
47	6.421604458
48	6.379886526
49	6.334492179
50	6.292742819
51	6.250403491
52	6.214962537
53	6.182913898
54	6.151508668
55	6.11493037
56	6.08661378
57	6.058177264
58	6.032684333
59	6.001117289
60	5.973480268
61	5.955632026
62	5.931304942
63	5.910212343
64	5.887429358
65	5.865605211
66	5.838201355
67	5.819806872
68	5.800091528
69	5.780400203
70	5.76354157
71	5.753793062
72	5.74390545
73	5.730145277
74	5.713749064
75	5.701914809
76	5.683471342
77	5.665424907
78	5.653227869
79	5.6423247
80	5.63169735
81	5.619092832
82	5.607264466
83	5.593273219
84	5.585048419
85	5.576072825
86	5.567938615
87	5.555854389
88	5.548036959
89	5.53368807
90	5.524013152
91	5.518598941
92	5.510678045
93	5.500714392
94	5.492845153
95	5.487421215
96	5.479098727
97	5.470829322
98	5.464921555
99	5.457105315
100	5.446432831
101	5.441642784
102	5.428755031
103	5.421853668
104	5.416059163
105	5.409611961
106	5.40037152
107	5.392338812
108	5.385932865
109	5.381951943
110	5.379060047
111	5.36990147
112	5.367316429
113	5.361577868
114	5.356591273
115	5.353338703
116	5.346553381
117	5.340661271
118	5.335649254
119	5.330415163
120	5.325903054
121	5.32176228
122	5.315584767
123	5.31012137
124	5.303038743
125	5.299234236
126	5.295367469
127	5.292211843
128	5.288144574
129	5.285534177
130	5.283233216
131	5.277311502
132	5.27339901
133	5.270588559
134	5.268697305
135	5.266895393
136	5.265133818
137	5.261359367
138	5.256021856
139	5.24913989
140	5.246197863
141	5.244058082
142	5.242077498
143	5.23681763
144	5.234508025
145	5.232729262
146	5.231496071
147	5.228013544
148	5.225225472
149	5.220737904
150	5.216091069
151	5.213639346
152	5.211377378
153	5.208232437
154	5.206311097
155	5.205409697
156	5.203125139
157	5.199768476
158	5.197514277
159	5.192851437
160	5.187375395
161	5.187085248
162	5.184665078
163	5.180182384
164	5.178271267
165	5.176642031
166	5.173249697
167	5.17130395
168	5.167100216
169	5.162530389
170	5.159564054
171	5.158280254
172	5.15366203
173	5.149395992
174	5.143927385
175	5.141611233
176	5.139427534
177	5.137983901
178	5.134093844
179	5.13258217
180	5.130031297
181	5.127875184
182	5.127179071
183	5.125642869
184	5.125002708
185	5.11774298
186	5.116371862
187	5.113493451
188	5.11035662
189	5.109193618
190	5.10776836
191	5.104290891
192	5.103759083
193	5.100714074
194	5.097493543
195	5.094845347
196	5.094603877
197	5.088700781
198	5.088513197
199	5.088011743
200	5.087527495
201	5.087389272
202	5.086922538
203	5.08647354
204	5.080656058
205	5.075731329
206	5.075349755
207	5.072918353
208	5.071542939
209	5.07112674
210	5.070724025
211	5.068763968
212	5.06862352
213	5.067073984
214	5.065611581
215	5.065489024
216	5.063249475
217	5.062896881
218	5.058768368
219	5.054558801
220	5.050600737
221	5.050254841
222	5.049483585
223	5.049156709
224	5.044115738
225	5.03932482
226	5.037271386
227	5.037016122
228	5.034466636
229	5.031209006
230	5.026668219
231	5.022030734
232	5.017571533
233	5.017261453
234	5.013790159
235	5.011386676
236	5.008384507
237	5.004165446
238	4.998693227
239	4.993760546
240	4.992179239
241	4.987885136
242	4.983907839
243	4.980170788
244	4.979873355
245	4.975583432
246	4.972767183
247	4.972680173
248	4.968557107
249	4.965207276
250	4.964920513
251	4.962387904
252	4.96067467
253	4.958865563
254	4.958589221
255	4.953747997
256	4.950157555
257	4.949886727
258	4.944783203
259	4.941554969
260	4.937884588
261	4.937619662
262	4.93464053
263	4.932011172
264	4.928013735
265	4.926287375
266	4.922669627
267	4.922422829
268	4.921627757
269	4.921444391
270	4.9176647
271	4.914071601
272	4.909808618
273	4.909567715
274	4.906924724
275	4.903512073
276	4.899055712
277	4.898885739
278	4.895626041
279	4.893674256
280	4.892166821
281	4.890357842
282	4.888404753
283	4.885625569
284	4.885573989
285	4.881586066
286	4.87741639
287	4.87449147
288	4.873147532
289	4.868108348
290	4.865230543
291	4.862324318
292	4.858973623
293	4.857536532
294	4.853536858
295	4.851343483
296	4.847917025
297	4.845859945
298	4.843720611
299	4.840524872
